Filename,Residue_Code,MOL2_SHA256_Hash,Raw_InChIKey,Raw_CID,Raw_ChEBI,Raw_Name,Canon_InChIKey,Canon_CID,Canon_ChEBI,Canon_Name,Flat_InChIKey,Flat_CID,Flat_ChEBI,Flat_Name
all_aminoct03.lib_NHE_sybyl.mol2,NHE,bed6e39abe1fa633520352aa25a178712639dcf1dab30575e338955e711ebaae,MDFFNEOEWAXZRQ-UHFFFAOYSA-N,123329,CHEBI:29318,Amino radical,MDFFNEOEWAXZRQ-UHFFFAOYSA-N,123329,CHEBI:29318,Amino radical,MDFFNEOEWAXZRQ-UHFFFAOYSA-N,123329,CHEBI:29318,Amino radical
ff-nucleic-OL21.lib_DG5_sybyl.mol2,DG5,d19346732d86a6e8c026ab022f90a437e348584402562b99cd778c411f580370,YBYFEKOWCAGMFW-KVQBGUIXSA-N,-,-,No Match,YBYFEKOWCAGMFW-KVQBGUIXSA-N,-,-,No Match,YBYFEKOWCAGMFW-UHFFFAOYSA-N,-,-,No Match
aminoct10.lib_CSER_sybyl.mol2,CSER,fea937daa861d971b6cf69ac9648433367cfc62adc074be3e78c0f3abc80e355,LFVBCPQVRLWUHB-REOHCLBHSA-N,-,-,No Match,LFVBCPQVRLWUHB-REOHCLBHSA-N,-,-,No Match,LFVBCPQVRLWUHB-UHFFFAOYSA-N,-,-,No Match
mod_amino19.lib_MSE_sybyl.mol2,MSE,52bfae084d1edb3f63ce8410def2c2ef84073169243c274e8aa90ca9218bf635,SHZDRIWLMOPNLU-YFKPBYRVSA-N,-,-,No Match,SHZDRIWLMOPNLU-YFKPBYRVSA-N,-,-,No Match,SHZDRIWLMOPNLU-UHFFFAOYSA-N,57449256,-,Compound_57449256
RNA_Shaw.lib_OHE_sybyl.mol2,OHE,34026419dc2913f127fabb1430400f5fc84c2b0e8473e3d7ba088a54978410f3,TUJKJAMUKRIRHC-UHFFFAOYSA-N,157350,CHEBI:29191,Hydroxyl radical,TUJKJAMUKRIRHC-UHFFFAOYSA-N,157350,CHEBI:29191,Hydroxyl radical,TUJKJAMUKRIRHC-UHFFFAOYSA-N,157350,CHEBI:29191,Hydroxyl radical
aminoct15ipq-vac_10.0.lib_CHIE_sybyl.mol2,CHIE,85d3572835ea590f37d8a4b416f2dff1e43721805534a8af136a1425568c8233,DLSSAWVFOWPTSG-YFKPBYRVSA-N,-,-,No Match,DLSSAWVFOWPTSG-YFKPBYRVSA-N,-,-,No Match,DLSSAWVFOWPTSG-UHFFFAOYSA-N,-,-,No Match
all_nucleic94.nmr.lib_DTN_sybyl.mol2,DTN,454c8beac898ff93c74f2a50cd8d7b28c64d7cd4c004518da1ce5a8e80dd1f51,IQFYYKKMVGJFEH-XLPZGREQSA-N,5789,CHEBI:17748,thymidine,IQFYYKKMVGJFEH-XLPZGREQSA-N,5789,CHEBI:17748,thymidine,IQFYYKKMVGJFEH-UHFFFAOYSA-N,1134,CHEBI:188725,DTXSID20936337
aminoct19ipq_0.9.lib_CHID_sybyl.mol2,CHID,059ed679a249fcced34c852e93289e5a2842fd062630f89c35a9f9f2ee50be44,DLSSAWVFOWPTSG-YFKPBYRVSA-N,-,-,No Match,DLSSAWVFOWPTSG-YFKPBYRVSA-N,-,-,No Match,DLSSAWVFOWPTSG-UHFFFAOYSA-N,-,-,No Match
all_amino03.lib_GLU_sybyl.mol2,GLU,563d081b08f04df3caa586c96a2c0d1b8be7c1341d5db30cabae8aef45e68b60,YUJSYAOUTKMUJR-BYPYZUCNSA-N,-,-,No Match,YUJSYAOUTKMUJR-BYPYZUCNSA-N,-,-,No Match,YUJSYAOUTKMUJR-UHFFFAOYSA-N,-,-,No Match
amino15ipq-vac_10.0.lib_PRO_sybyl.mol2,PRO,7eb808d44180a66db4b58b01a9ff475a9534c6f327227a262d7f01971c9f3750,IOYHOIIOPNAVHQ-YFKPBYRVSA-N,57486095,-,Compound_57486095,IOYHOIIOPNAVHQ-YFKPBYRVSA-N,57486095,-,Compound_57486095,IOYHOIIOPNAVHQ-UHFFFAOYSA-N,57449160,-,Compound_57449160
all_amino03.lib_ASN_sybyl.mol2,ASN,c2998ba0c5a1425deef97897fa527e6622ece48e69c96d01afc01dc3cde8ba72,FWIKLAHZHXHXAK-VKHMYHEASA-N,-,-,No Match,FWIKLAHZHXHXAK-VKHMYHEASA-N,-,-,No Match,FWIKLAHZHXHXAK-UHFFFAOYSA-N,-,-,No Match
all_amino94.lib_HIP_sybyl.mol2,HIP,54dd127685a7a1076d20346f2dc3d9fca3bc0da79fe8e67bda649a46f607b853,OVMHFBBIKPRVHF-YFKPBYRVSA-N,-,-,No Match,OVMHFBBIKPRVHF-YFKPBYRVSA-N,-,-,No Match,OVMHFBBIKPRVHF-UHFFFAOYSA-N,-,-,No Match
amino10.lib_LYS_sybyl.mol2,LYS,57e7163979a1129a15ab2afa640aea859decd42915d76b81703634d1c0357fd6,IGCUKXMNGUIUAZ-LURJTMIESA-O,-,-,No Match,IGCUKXMNGUIUAZ-LURJTMIESA-O,-,-,No Match,IGCUKXMNGUIUAZ-UHFFFAOYSA-O,57465672,-,Compound_57465672
all_aminofb15.lib_ASN_sybyl.mol2,ASN,c2998ba0c5a1425deef97897fa527e6622ece48e69c96d01afc01dc3cde8ba72,FWIKLAHZHXHXAK-VKHMYHEASA-N,-,-,No Match,FWIKLAHZHXHXAK-VKHMYHEASA-N,-,-,No Match,FWIKLAHZHXHXAK-UHFFFAOYSA-N,-,-,No Match
DNA.OL15.lib_DT3_sybyl.mol2,DT3,2f39db5d799016c865f331f113e38f633bf90ba54d86c6f6fb502a1d5a44ae3c,OULYLPFBAGNSOL-XLPZGREQSA-N,10835228,-,2q7u,OULYLPFBAGNSOL-XLPZGREQSA-N,10835228,-,2q7u,OULYLPFBAGNSOL-UHFFFAOYSA-N,147873099,-,"[3-hydroxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methoxy-oxido-oxophosphanium"
ff15ipq-m.lib_B3L_sybyl.mol2,B3L,d5a349924d64978cc114d02809ba3861dce874ba4089ba83bc76f9105d054293,KSOXMCRXWOKDGG-ZETCQYMHSA-N,-,-,No Match,KSOXMCRXWOKDGG-SSDOTTSWSA-N,-,-,No Match,KSOXMCRXWOKDGG-UHFFFAOYSA-N,-,-,No Match
all_aminoAM1.lib_LYN_sybyl.mol2,LYN,d7ae9e19b23b799010cfc2be286c926942392faf1082fc49393a9dd2c2c958bd,IGCUKXMNGUIUAZ-LURJTMIESA-N,57452071,-,Compound_57452071,IGCUKXMNGUIUAZ-LURJTMIESA-N,57452071,-,Compound_57452071,IGCUKXMNGUIUAZ-UHFFFAOYSA-N,57449184,-,Compound_57449184
ff-nucleic-OL21.lib_DC3_sybyl.mol2,DC3,83f1404603f446c618dc6c4b43441bb96f3ee318aca68f844a60569917f268cc,FRWAMXAZRDARTN-SHYZEUOFSA-N,10786688,-,Compound_10786688,FRWAMXAZRDARTN-SHYZEUOFSA-N,10786688,-,Compound_10786688,FRWAMXAZRDARTN-UHFFFAOYSA-N,85267528,-,Compound_85267528
all_amino94ildn.lib_GLY_sybyl.mol2,GLY,21a7fd80ae81ace3cdb7885117c8f0ca11047d3a77abc3f3c2be3707820794aa,SXXPPKXQWLKDIE-UHFFFAOYSA-N,12452101,-,2-oxoethylazanide,SXXPPKXQWLKDIE-UHFFFAOYSA-N,12452101,-,2-oxoethylazanide,SXXPPKXQWLKDIE-UHFFFAOYSA-N,12452101,-,2-oxoethylazanide
amino15ipq-vac_10.0.lib_SER_sybyl.mol2,SER,33c44d09291c944de3e276ad4825d4955a67e6e0fb3c0f1f10b779efa9bb818b,BYYNOWPCDPFCRM-VKHMYHEASA-N,57449797,-,Compound_57449797,BYYNOWPCDPFCRM-VKHMYHEASA-N,57449797,-,Compound_57449797,BYYNOWPCDPFCRM-UHFFFAOYSA-N,57449258,-,Compound_57449258
aminoct10.lib_CCYX_sybyl.mol2,CCYX,4ae9c23ec349d1ec3f18551efecf521ca30b39b3f5165896c92b8062c76c765f,OZFCSRUCKWAGON-REOHCLBHSA-N,-,-,No Match,OZFCSRUCKWAGON-REOHCLBHSA-N,-,-,No Match,OZFCSRUCKWAGON-UHFFFAOYSA-N,-,-,No Match
amino12.redq.lib_THR_sybyl.mol2,THR,d4c1a5ec2a6af8a57791c109776cde10d2dedcc93d169263a60f492f0e954638,MTCLYPUKZZBZPY-QWWZWVQMSA-N,57452850,-,Compound_57452850,MTCLYPUKZZBZPY-QWWZWVQMSA-N,57452850,-,Compound_57452850,MTCLYPUKZZBZPY-UHFFFAOYSA-N,76540604,-,Compound_76540604
aminont19ipq_0.9.lib_NLEU_sybyl.mol2,NLEU,e7fd1e85c942385c5a164a37b0d2babcd311623ea6e718b32ab2ca6dc9212ebe,PNLOVMFGPRECRH-LURJTMIESA-O,-,-,No Match,PNLOVMFGPRECRH-LURJTMIESA-O,-,-,No Match,PNLOVMFGPRECRH-UHFFFAOYSA-O,-,-,No Match
